time,command_position,command_velocity,command_torque_or_current,true_motor_position,true_motor_velocity,measured_motor_encoder_position,true_finger_position,true_finger_velocity,measured_output_position,cable_tension,controller_error_position,controller_error_velocity,torque_command,current_command,applied_torque_after_saturation,external_load,temperature,safety_status
1780518700.2408657,0.23714157740275105,,0.26737014034006684,-24.927823098019253,18.0,-24.999922690240332,-0.047319605538436574,-0.023248304907066322,-0.047019088709872786,0.0,0.2832770915938005,2.6489907136494915,0.275,2.5,0.27397743147771664,0.0,27.27408660291683,OK
1780518700.2425156,0.25460341771443645,,0.275,-25.744302447090497,17.258695876952753,-25.81338725045492,0.0,0.0,0.0013430210049985788,0.0,0.3016225064243092,2.815226271451205,0.275,2.5,0.26707896504783785,0.0,27.148690356441307,motor velocity clamped
1780518700.2427435,0.25460341771443645,,0.275,-24.891327289632702,18.0,-24.963806554018227,-0.047366102148250704,-0.023248304907066322,-0.04910865668024208,0.0,0.3016225064243092,2.815226271451205,0.275,2.5,0.2741137739473544,0.0,27.27509065932984,OK
1780518700.2446377,0.25460341771443645,,0.275,-25.70929841452915,17.50201628067395,-25.778111526514028,0.0,0.0,-5.334708997691673e-05,0.0,0.3016225064243092,2.815226271451205,0.275,2.5,0.2681351030414595,0.0,27.14965245564472,motor velocity clamped
1780518700.2450154,0.25460341771443645,,0.275,-24.854831218660657,18.0,-24.928090887941856,-0.04741259875806483,-0.023248304907066322,-0.04710763203784082,0.0,0.3016225064243092,2.815226271451205,0.275,2.5,0.2742319374210405,0.0,27.276095629424173,OK
1780518700.2465656,0.25460341771443645,,0.275,-25.673809319595996,17.744547466577195,-25.74420562075057,0.0,0.0,-0.0028504687220667463,0.0,0.25465676480441335,2.3874606629570376,0.275,2.5,0.2680331080146071,0.0,27.150613693225125,motor velocity clamped
1780518700.2469118,0.25460341771443645,,0.275,-24.818334920114513,18.0,-24.89170484405722,-0.04745909536787896,-0.023248304907066322,-0.0487276277436598,0.0,0.30171104975227725,2.8098155912181992,0.275,2.5,0.2743343457649018,0.0,27.277101384972283,OK
1780518700.248436,0.25460341771443645,,0.275,-25.63783444542222,17.987437086887805,-25.70840113768925,0.0,0.0,0.0011121125269087883,0.0,0.30171104975227725,2.8098155912181992,0.275,2.5,0.26896202694599286,0.0,27.15158230328005,motor velocity clamped
1780518700.2489388,0.25460341771443645,,0.275,-24.781838424337483,18.0,-24.853879944985444,-0.04750559197769309,-0.023248304907066322,-0.04751953920100152,0.0,0.30171104975227725,2.8098155912181992,0.275,2.5,0.2744230996629149,0.0,27.278107814760318,OK
1780518700.2504923,0.25460341771443645,,0.275,-25.601373352365552,18.0,-25.674338707680395,0.0,0.0,-0.0012221855700571562,0.0,0.25349130518752766,2.35518998106151,0.275,2.5,0.2697670900198605,0.0,27.15255731680244,motor velocity clamped
